transaction_id,customer_id,product_category,amount,transaction_date,store_location
1,861,Books,294.33,2023-01-01 00:00:00,Chicago
2,3773,Clothing,55.13,2023-01-01 00:10:00,LA
3,3093,Books,454.95,2023-01-01 00:20:00,NYC
4,467,Clothing,582.79,2023-01-01 00:30:00,Chicago
5,4427,Electronics,376.53,2023-01-01 00:40:00,NYC
6,3445,Home,267.75,2023-01-01 00:50:00,LA
7,3172,Home,396.55,2023-01-01 01:00:00,Chicago
8,2920,Electronics,524.7,2023-01-01 01:10:00,NYC
9,131,Electronics,441.67,2023-01-01 01:20:00,Chicago
10,1686,Home,102.34,2023-01-01 01:30:00,Houston
11,770,Electronics,462.27,2023-01-01 01:40:00,NYC
12,2392,Clothing,723.13,2023-01-01 01:50:00,Chicago
13,2434,Home,821.8,2023-01-01 02:00:00,LA
14,1185,Books,445.14,2023-01-01 02:10:00,Houston
15,4556,Electronics,993.86,2023-01-01 02:20:00,Houston
16,3386,Clothing,844.43,2023-01-01 02:30:00,Houston
17,4118,Home,223.23,2023-01-01 02:40:00,Houston
18,4844,Home,462.2,2023-01-01 02:50:00,LA
19,2905,Clothing,302.51,2023-01-01 03:00:00,LA
20,475,Electronics,554.74,2023-01-01 03:10:00,Chicago
21,1083,Home,231.88,2023-01-01 03:20:00,LA
22,2559,Electronics,44.88,2023-01-01 03:30:00,LA
23,2048,Clothing,905.34,2023-01-01 03:40:00,NYC
24,2748,Books,524.56,2023-01-01 03:50:00,NYC
25,976,Clothing,915.81,2023-01-01 04:00:00,LA
26,1807,Electronics,126.97,2023-01-01 04:10:00,Houston
27,190,Home,159.97,2023-01-01 04:20:00,LA
28,2735,Electronics,234.22,2023-01-01 04:30:00,Chicago
29,3006,Electronics,462.55,2023-01-01 04:40:00,LA
30,4659,Books,881.2,2023-01-01 04:50:00,LA
31,1900,Home,653.91,2023-01-01 05:00:00,NYC
32,1268,Books,64.45,2023-01-01 05:10:00,NYC
33,1529,Books,413.12,2023-01-01 05:20:00,LA
34,3203,Clothing,726.02,2023-01-01 05:30:00,Houston
35,3557,Clothing,329.16,2023-01-01 05:40:00,LA
36,3891,Home,497.64,2023-01-01 05:50:00,Chicago
37,647,Books,714.32,2023-01-01 06:00:00,Houston
38,2889,Books,965.34,2023-01-01 06:10:00,Houston
39,2436,Electronics,339.88,2023-01-01 06:20:00,LA
40,601,Electronics,746.93,2023-01-01 06:30:00,Houston
41,2364,Clothing,749.93,2023-01-01 06:40:00,Houston
42,2062,Books,547.28,2023-01-01 06:50:00,NYC
43,242,Home,815.23,2023-01-01 07:00:00,Houston
44,2042,Books,540.76,2023-01-01 07:10:00,Houston
45,2825,Clothing,628.75,2023-01-01 07:20:00,LA
46,2613,Home,838.85,2023-01-01 07:30:00,Chicago
47,1364,Books,481.5,2023-01-01 07:40:00,NYC
48,1479,Electronics,483.18,2023-01-01 07:50:00,Chicago
49,2557,Books,595.13,2023-01-01 08:00:00,LA
50,776,Clothing,806.15,2023-01-01 08:10:00,Houston
51,4015,Clothing,135.91,2023-01-01 08:20:00,Chicago
52,35,Books,773.5,2023-01-01 08:30:00,Houston
53,3153,Clothing,301.81,2023-01-01 08:40:00,Houston
54,1956,Electronics,80.32,2023-01-01 08:50:00,Houston
55,1586,Electronics,794.25,2023-01-01 09:00:00,NYC
56,3944,Electronics,153.69,2023-01-01 09:10:00,Chicago
57,3074,Books,221.13,2023-01-01 09:20:00,LA
58,1022,Clothing,709.11,2023-01-01 09:30:00,LA
59,3462,Electronics,568.88,2023-01-01 09:40:00,LA
60,2614,Home,921.29,2023-01-01 09:50:00,Chicago
61,3844,Clothing,954.79,2023-01-01 10:00:00,Houston
62,1501,Clothing,320.82,2023-01-01 10:10:00,LA
63,4799,Home,330.96,2023-01-01 10:20:00,LA
64,162,Clothing,217.64,2023-01-01 10:30:00,Houston
65,4298,Electronics,522.44,2023-01-01 10:40:00,Houston
66,1982,Clothing,384.21,2023-01-01 10:50:00,NYC
67,996,Electronics,24.51,2023-01-01 11:00:00,Houston
68,4912,Electronics,401.01,2023-01-01 11:10:00,Houston
69,3343,Electronics,71.08,2023-01-01 11:20:00,NYC
70,4552,Books,801.05,2023-01-01 11:30:00,NYC
71,3799,Clothing,929.6,2023-01-01 11:40:00,Chicago
72,1276,Home,302.87,2023-01-01 11:50:00,LA
73,1017,Books,654.21,2023-01-01 12:00:00,LA
74,338,Books,97.64,2023-01-01 12:10:00,LA
75,879,Books,369.89,2023-01-01 12:20:00,NYC
76,1077,Books,580.15,2023-01-01 12:30:00,NYC
77,4888,Electronics,113.13,2023-01-01 12:40:00,NYC
78,3994,Electronics,383.37,2023-01-01 12:50:00,Chicago
79,4860,Home,955.69,2023-01-01 13:00:00,NYC
80,380,Clothing,174.42,2023-01-01 13:10:00,Houston
81,493,Home,624.03,2023-01-01 13:20:00,Houston
82,2063,Clothing,835.01,2023-01-01 13:30:00,LA
83,3885,Electronics,773.46,2023-01-01 13:40:00,NYC
